Location_ID,sensor_name,sensor_description,latitude,longitude,total_pedestrians,avg_hourly_count,days_observed,hours_observed,nearest_toilet,nearest_distance_m,nearest_wheelchair,nearest_baby_change,toilets_within_300m,wheelchair_toilets_within_300m,baby_change_toilets_within_300m,toilets_within_500m,wheelchair_toilets_within_500m,baby_change_toilets_within_500m,demand_rank,demand_level,access_gap_level,priority_score,priority_group
3,Swa295_T,Melbourne Central,-37.81101524,144.96429485,1066037,1480.6,30,720,Public Toilet - Toilet 7 - Latrobe Street (Adjacent 120 La Trobe Street),259.4,no,no,2,0,0,8,3,0,3,High demand,Moderate distance,92.0,High priority
5,PriNW_T,Princes Bridge,-37.81874249,144.96787656,820970,1141.8,30,719,Public Toilet - Toilet 41 - Flinders Street (No 245 Flinders Street Station),169.6,yes,no,2,2,0,4,4,1,6,High demand,Moderate distance,73.9,Medium priority
9,Col700_T,Southern Cross Station,-37.81982992,144.95102555,389994,542.4,30,719,Public Toilet - Toilet 182 - Docklands Park South - 25 Harbour Esplanade,385.1,yes,yes,0,0,0,2,2,1,25,High demand,Longer distance,86.6,High priority
12,NewQ_T,New Quay,-37.81457988,144.94292398,131247,198.0,30,663,"Public Toilet - Saint Mangos Lane, The Palladio (New Quay)",111.8,yes,no,1,1,0,1,1,0,65,Medium demand,Close toilet,36.3,Lower priority
14,SanBri_T,Sandridge Bridge,-37.82011242,144.96291897,180687,320.4,25,564,Public Toilet - Toilet 172 - Southbank Promenade (opposite Esso House),117.1,yes,no,2,2,0,4,4,0,50,Medium demand,Close toilet,44.4,Lower priority
18,Col12_T,Collins Place (North),-37.81344862,144.97305353,163535,245.5,30,666,Public Toilet - Toilet 13 - Exhibition Street (Opposite 77 Exhibition Street),154.0,yes,no,3,1,0,7,4,0,54,Medium demand,Moderate distance,47.1,Lower priority
19,LtB210_T,Chinatown-Swanston St (North),-37.81237202,144.96550671,446089,619.6,30,720,Public Toilet - Toilet 46 - Bourke Street (opposite 225 Bourke Street),156.0,yes,no,3,1,0,8,4,1,20,High demand,Moderate distance,64.3,Medium priority
20,LtB170_T,Chinatown-Lt Bourke St (South),-37.81172914,144.9682466,290394,403.9,30,719,Public Toilet - Toilet 46 - Bourke Street (opposite 225 Bourke Street),206.1,yes,no,3,2,0,7,4,1,38,Medium demand,Moderate distance,59.8,Medium priority
27,Vic_T,QV Market-Peel St,-37.80606888,144.95644692,102224,142.8,30,716,Public Toilet - Queen Victoria Market (153 Victoria Street),9.9,no,no,4,1,1,7,3,1,69,Low demand,Close toilet,17.2,Lower priority
41,Swa31,Flinders La-Swanston St (West),-37.81668634,144.96689733,1285836,1785.9,30,720,Public Toilet - Toilet 41 - Flinders Street (No 245 Flinders Street Station),146.3,yes,no,2,2,1,6,5,1,2,High demand,Close toilet,61.7,Medium priority
