sensor_description,longitude,latitude,total_pedestrians,avg_hourly_count,nearest_distance_m,toilets_within_300m,wheelchair_toilets_within_300m,baby_change_toilets_within_300m,priority_score,priority_group,demand_level,access_gap_level
Melbourne Central,144.96429485,-37.81101524,1066037,1480.6,259.4,2,0,0,92.0,High priority,High demand,Moderate distance
Princes Bridge,144.96787656,-37.81874249,820970,1141.8,169.6,2,2,0,73.9,Medium priority,High demand,Moderate distance
Southern Cross Station,144.95102555,-37.81982992,389994,542.4,385.1,0,0,0,86.6,High priority,High demand,Longer distance
New Quay,144.94292398,-37.81457988,131247,198.0,111.8,1,1,0,36.3,Lower priority,Medium demand,Close toilet
Sandridge Bridge,144.96291897,-37.82011242,180687,320.4,117.1,2,2,0,44.4,Lower priority,Medium demand,Close toilet
Collins Place (North),144.97305353,-37.81344862,163535,245.5,154.0,3,1,0,47.1,Lower priority,Medium demand,Moderate distance
Chinatown-Swanston St (North),144.96550671,-37.81237202,446089,619.6,156.0,3,1,0,64.3,Medium priority,High demand,Moderate distance
Chinatown-Lt Bourke St (South),144.9682466,-37.81172914,290394,403.9,206.1,3,2,0,59.8,Medium priority,Medium demand,Moderate distance
QV Market-Peel St,144.95644692,-37.80606888,102224,142.8,9.9,4,1,1,17.2,Lower priority,Low demand,Close toilet
Flinders La-Swanston St (West),144.96689733,-37.81668634,1285836,1785.9,146.3,2,2,1,61.7,Medium priority,High demand,Close toilet
Monash Rd-Swanston St (West),144.96411782,-37.79844526,141261,200.4,306.8,0,0,0,65.2,Medium priority,Medium demand,Longer distance
Tin Alley-Swanston St (West),144.96441306,-37.79698741,68193,98.7,338.8,0,0,0,58.9,Medium priority,Low demand,Longer distance
Pelham St (South),144.9615673,-37.80240719,61574,107.1,70.3,3,1,0,23.2,Lower priority,Low demand,Close toilet
Melbourne Central-Elizabeth St (East),144.9625775,-37.81258467,674046,937.5,99.7,3,1,0,61.6,Medium priority,High demand,Close toilet
QVM-Queen St (East),144.95866697,-37.80631581,168273,373.9,35.1,6,2,1,26.3,Lower priority,Medium demand,Close toilet
Faraday St-Lygon St (West),144.96721013,-37.79808192,159848,225.5,77.5,1,0,0,47.1,Lower priority,Medium demand,Close toilet
QVM-Franklin St (North),144.95906316,-37.80841815,99745,139.3,100.8,4,2,1,22.2,Lower priority,Low demand,Close toilet
Elizabeth St-Lonsdale St (South),144.9619401,-37.81252157,254655,361.2,133.7,3,1,0,49.7,Lower priority,Medium demand,Close toilet
Collins Street (North),144.965499,-37.81564191,487450,680.8,135.4,4,3,1,52.9,Medium priority,High demand,Close toilet
Lincoln-Swanston (West),144.96308399,-37.804024,93246,168.6,71.5,2,1,0,28.2,Lower priority,Low demand,Close toilet
Lonsdale St - Elizabeth St (North),144.96153311,-37.81234775,315804,455.0,148.6,3,1,0,55.4,Medium priority,Medium demand,Close toilet
Flinders Ln -Degraves St (North),144.96559789,-37.8168479,267702,390.8,131.1,2,2,1,40.1,Lower priority,Medium demand,Close toilet
Flinders Ln -Degraves St (Crossing),144.96559144,-37.81687226,200340,286.6,129.0,2,2,1,36.3,Lower priority,Medium demand,Close toilet
Flinders St- ACMI,144.96872809,-37.81726338,238356,333.4,227.8,3,3,1,48.5,Lower priority,Medium demand,Moderate distance
Macaulay Rd (North),144.92973378,-37.79432415,70438,106.9,85.3,1,1,0,27.4,Lower priority,Low demand,Close toilet
