sensor_description,total_pedestrians,nearest_distance_m,nearest_toilet,toilets_within_300m,wheelchair_toilets_within_300m,baby_change_toilets_within_300m
Town Hall (West),1295924,83.9,Public Toilet - Town Hall Melbourne (200 Collins Street),3,2,1
Flinders La-Swanston St (West),1285836,146.3,Public Toilet - Toilet 41 - Flinders Street (No 245 Flinders Street Station),2,2,1
Melbourne Central,1066037,259.4,Public Toilet - Toilet 7 - Latrobe Street (Adjacent 120 La Trobe Street),2,0,0
State Library - New,1044867,210.6,Public Toilet - Toilet 7 - Latrobe Street (Adjacent 120 La Trobe Street),1,0,0
Elizabeth St - Flinders St (East) - New footpath,858403,108.4,Public Toilet - Toilet 41 - Flinders Street (No 245 Flinders Street Station),2,2,0
Princes Bridge,820970,169.6,Public Toilet - Toilet 41 - Flinders Street (No 245 Flinders Street Station),2,2,0
368 Elizabeth Street,797805,234.1,Public Toilet - Toilet 34 - Franklin Street (Opposite 80 Franklin Street),1,1,0
Little Collins St-Swanston St (East),719989,122.0,Public Toilet - Toilet 46 - Bourke Street (opposite 225 Bourke Street),4,2,1
Building 80 RMIT,709050,165.1,Public Toilet - Toilet 146 - Swanston Street (Opposite 475-511 Swanston Street),3,1,0
124 Elizabeth Street,686000,153.1,Public Toilet - Toilet 6 - Elizabeth Street (Toilet Adjacent 200 Elizabeth Street),4,2,1
